City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3600155,16000US3600155,Accord CDP,560,479,559,,18,0,61,0,0,1,1,0,0,0,0,0,1,0
3600199,16000US3600199,Adams village,1966,1780,1856,,0,6,9,0,0,61,110,103,0,7,0,0,0,0
3600232,16000US3600232,Adams Center CDP,1385,1355,1370,,2,0,0,0,0,13,15,15,0,0,0,0,0,0
3600276,16000US3600276,Addison village,1823,1753,1788,,20,0,3,0,6,6,35,6,0,0,0,0,29,0
3600342,16000US3600342,Afton village,933,872,902,,6,7,6,0,0,11,31,31,0,0,0,0,0,0
3600408,16000US3600408,Airmont village,8770,6808,7599,,253,0,408,14,20,96,1171,427,13,0,0,0,527,204
3600441,16000US3600441,Akron village,2871,2749,2822,,0,12,16,0,0,45,49,15,0,0,0,0,34,0
3601000,16000US3601000,Albany city,97478,49073,87673,,26239,82,6701,11,468,5099,9805,4555,1970,133,19,3,2316,809
3601011,16000US3601011,Albertson CDP,5225,3358,4754,,0,68,1225,0,0,103,471,380,64,0,0,0,27,0
3601033,16000US3601033,Albion village,5479,4289,5226,,642,0,0,0,0,295,253,57,4,0,0,0,192,0
3601088,16000US3601088,Alden village,2577,2472,2554,,25,17,0,19,0,21,23,23,0,0,0,0,0,0
3601154,16000US3601154,Alexander village,524,498,516,,4,0,0,0,9,5,8,0,0,0,0,0,8,0
3601187,16000US3601187,Alexandria Bay village,927,871,921,,37,0,8,0,0,5,6,0,4,0,0,0,0,2
3601198,16000US3601198,Alfred village,4293,3279,3958,,347,20,242,0,17,53,335,194,24,0,0,0,96,21
3601286,16000US3601286,Allegany village,1865,1709,1811,,34,0,30,0,0,38,54,26,0,0,0,0,28,0
3601440,16000US3601440,Almond village,433,403,433,,1,0,19,0,0,10,0,0,0,0,0,0,0,0
3601517,16000US3601517,Altamont village,1665,1482,1603,,13,0,80,0,0,28,62,38,9,0,3,0,12,0
3601550,16000US3601550,Altmar CDP,406,396,398,,1,0,1,0,0,0,8,0,0,0,0,0,4,4
3601572,16000US3601572,Altona CDP,729,338,590,,223,3,12,0,0,14,139,16,15,0,0,0,96,12
3601594,16000US3601594,Amagansett CDP,739,665,668,,0,0,0,0,0,3,71,64,0,0,0,0,7,0
3601682,16000US3601682,Amenia CDP,1074,800,905,,48,0,0,0,25,32,169,0,0,0,0,0,169,0
