FIPS,Geographic Identifier,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Tribal Tract,Tribal Block Group,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Median Value,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Median Household Income (In 2019 Inflation Adjusted Dollars),Total Population,Median Number Of Rooms,Std. Error: Median Number Of Rooms,Median Value (Dollars),Std. Error: Median Value (Dollars)
100100,16000US0100100,Abanda CDP,"Abanda CDP, Alabama",al,160,0,ACSSF,7029,,,,,1,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50700,53,42,11,176,176,131,45,0,0,0,0,0,0,24261,176,6.1,0.4242424,50700,6315.151515
100124,16000US0100124,Abbeville city,"Abbeville city, Alabama",al,160,0,ACSSF,7030,,,,,1,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84000,1029,679,350,2573,2431,1323,1068,23,0,17,0,0,142,36875,2573,5.3,0.1818182,84000,4735.151515
100460,16000US0100460,Adamsville city,"Adamsville city, Alabama",al,160,0,ACSSF,7031,,,,,1,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101700,1471,1098,373,4340,4333,2078,2093,43,0,13,0,106,7,46322,4340,6,0.1212121,101700,5064.848485
100484,16000US0100484,Addison town,"Addison town, Alabama",al,160,0,ACSSF,7032,,,,,1,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78300,319,224,95,728,728,709,0,4,0,0,0,15,0,35625,728,5.9,0.3030303,78300,5010.30303
100676,16000US0100676,Akron town,"Akron town, Alabama",al,160,0,ACSSF,7033,,,,,1,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34400,116,91,25,315,315,81,234,0,0,0,0,0,0,25192,315,4.7,0.2424242,34400,4834.545455
100820,16000US0100820,Alabaster city,"Alabaster city, Alabama",al,160,0,ACSSF,7034,,,,,1,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173000,11568,9666,1902,33176,29878,23535,4811,127,533,7,183,682,3298,80072,33176,6.6,0.1212121,173000,1989.69697
100988,16000US0100988,Albertville city,"Albertville city, Alabama",al,160,0,ACSSF,7035,,,,,1,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120100,7249,4509,2740,21541,15460,14226,792,7,143,0,98,194,6081,45867,21541,6,0.1212121,120100,5461.212121
101132,16000US0101132,Alexander City city,"Alexander City city, Alabama",al,160,0,ACSSF,7036,,,,,1,,,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101700,5710,3680,2030,14508,13818,8888,4634,50,114,0,0,132,690,38328,14508,5.7,0.1212121,101700,9507.272727
101180,16000US0101180,Alexandria CDP,"Alexandria CDP, Alabama",al,160,0,ACSSF,7037,,,,,1,,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129800,1560,1328,232,4068,4068,3476,569,23,0,0,0,0,0,72229,4068,6,0.2424242,129800,9521.212121
101228,16000US0101228,Aliceville city,"Aliceville city, Alabama",al,160,0,ACSSF,7038,,,,,1,,,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87600,898,416,482,2362,2362,463,1893,0,0,0,0,6,0,22692,2362,5.3,0.2424242,87600,8761.818182
101396,16000US0101396,Allgood town,"Allgood town, Alabama",al,160,0,ACSSF,7039,,,,,1,,,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104500,208,154,54,706,291,275,0,0,0,0,0,16,415,41667,706,5.6,0.5454546,104500,24329.09091
101660,16000US0101660,Altoona town,"Altoona town, Alabama",al,160,0,ACSSF,7040,,,,,1,,,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83300,320,172,148,883,873,842,20,0,2,0,0,9,10,32000,883,4.9,0.1818182,83300,5593.333333
101708,16000US0101708,Andalusia city,"Andalusia city, Alabama",al,160,0,ACSSF,7041,,,,,1,,,1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112500,3490,2089,1401,8772,8585,6003,2428,5,42,0,0,107,187,37708,8772,5.5,0.1212121,112500,9284.242424
101756,16000US0101756,Anderson town,"Anderson town, Alabama",al,160,0,ACSSF,7042,,,,,1,,,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120100,104,75,29,236,233,222,0,0,9,0,0,2,3,48750,236,6,0.2424242,120100,9852.121212
101852,16000US0101852,Anniston city,"Anniston city, Alabama",al,160,0,ACSSF,7043,,,,,1,,,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97600,9277,5316,3961,21688,21146,8972,11154,31,237,0,19,733,542,36051,21688,5.7,0.1212121,97600,5886.666667
102116,16000US0102116,Arab city,"Arab city, Alabama",al,160,0,ACSSF,7044,,,,,1,,,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148400,3177,2123,1054,8293,8155,7761,64,65,129,1,0,135,138,46517,8293,6.1,0.06060606,148400,3702.424242
102260,16000US0102260,Ardmore town,"Ardmore town, Alabama",al,160,0,ACSSF,7045,,,,,1,,,2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111100,520,270,250,1350,1330,1115,158,9,34,0,0,14,20,37069,1350,5.5,0.2424242,111100,7220.606061
102320,16000US0102320,Argo town,"Argo town, Alabama",al,160,0,ACSSF,7046,,,,,1,,,2320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182800,1348,1150,198,4220,4013,3792,204,0,17,0,0,0,207,72643,4220,6.6,0.4848485,182800,10710.30303
102428,16000US0102428,Ariton town,"Ariton town, Alabama",al,160,0,ACSSF,7047,,,,,1,,,2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117200,272,200,72,837,780,647,105,0,0,0,0,28,57,33000,837,5.6,0.2424242,117200,34520
102500,16000US0102500,Arley town,"Arley town, Alabama",al,160,0,ACSSF,7048,,,,,1,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113400,183,132,51,574,574,565,1,1,1,0,0,6,0,41563,574,5.6,0.3030303,113400,12684.24242
