"","Dataset","census_tracts","J40_DAC","Total_population","Total_BIPOC","BIPOC_p","Black_p","mean_median_household_income","mean.Median.Number.Of.Rooms","mean.Median.Home.Value","Housing_burdened","Occupied_housing_units","pop_18_64_poverty","pop_18_64","low_income","low_income_below_federal200","less_high_school","Metro","Urbal_rural_code","renters","ENERGYBRDN","PM25"
"1","ALABAMA POWER CO",971,225,3870077,1429665,36.9,29.9,48447.3371369295,5.67360248447205,134301.668404588,456176,1475069,372901,2288733,996528,1462739,475052,726,2.72368692070031,466323,4.81874356333677,27.0409441812564
"2","CENTRAL ALABAMA ELECTRIC COOP",49,8,223725,70419,31.5,25.5,51131.4081632653,5.81632653061224,134957.142857143,25715,85193,20481,131607,50916,79217,29099,31,3.2469387755102,23361,4.3469387755102,29.150793877551
"3","BALDWIN COUNTY EL MEMBER CORP",30,1,206743,35882,17.4,9.5,58860.1333333333,5.86,200390,23665,78200,12360,118844,42411,58928,16224,18,3.16333333333333,22527,3.23333333333333,25.47683
"4","FOLEY BOARD OF UTILITIES",30,1,208206,35933,17.3,9.5,59108.7,5.87666666666667,202036.666666667,23858,78842,12412,119726,43282,59812,16490,17,3.36333333333333,22638,3.1,25.4724433333333
"5","CITY OF ROBERTSDALE",30,1,208206,35933,17.3,9.5,59108.7,5.87666666666667,202036.666666667,23858,78842,12412,119726,43282,59812,16490,17,3.36333333333333,22638,3.1,25.4724433333333
"6","CITY OF FAIRHOPE - (AL)",5,0,33982,8595,25.3,18.6,63142,6.14,237240,3766,12031,2220,18823,6807,10644,1156,5,1.1,4820,2.4,22.30306
"7","",3,0,4624,94,2,0.2,86962,5.1,399300,726,2088,104,2468,400,702,113,1,66.3333333333333,292,1.33333333333333,5.3227
"8","PEA RIVER ELECTRIC COOP",28,1,86530,32614,37.7,29.2,42767.6785714286,5.49285714285714,106462.962962963,9038,32597,8664,48052,21684,37931,14244,9,4.84285714285714,10991,4.75,25.9786107142857
"9","DIXIE ELECTRIC COOP",12,2,36134,22903,63.4,55.6,54248.75,5.96666666666667,155541.666666667,3948,14017,3387,22429,7214,12258,4210,12,1.83333333333333,4377,4.33333333333333,18.602075
"10","PIONEER ELECTRIC COOP, INC - (AL)",20,9,43903,28858,65.7,63,35849.7,5.53,78280,5557,16277,5951,25142,15214,23156,7595,5,6.82,4886,7.15,21.599075
"11","COOSA VALLEY ELECTRIC COOP INC",27,6,109652,28845,26.3,21.9,46818.92,5.744,113448,13576,42680,10371,64452,28208,43405,18278,10,3.66666666666667,11350,4.59259259259259,24.4143074074074
"12","CITY OF LAFAYETTE - (AL)",9,3,33660,14963,44.5,39.6,41712.4444444444,5.43333333333333,96877.7777777778,3996,13448,3233,19914,8561,14444,6348,1,4.11111111111111,4422,5.44444444444444,35.8039222222222
"13","TALLAPOOSA RIVER ELEC COOP INC",53,10,250142,93819,37.5,30.2,45109.6603773585,5.57547169811321,125809.433962264,31001,97664,25221,153414,66671,100815,34365,37,3,31116,4.22641509433962,27.8860641509434
"14","CITY OF LANETT - (AL)",3,2,7842,4155,53,48.1,35408,5.6,94300,1159,3244,880,4542,2134,3867,1615,0,4,1327,6.33333333333333,26.1862
"15","CHEROKEE ELECTRIC COOP",7,0,33985,5030,14.8,3.5,42163.2857142857,5.72857142857143,118185.714285714,3069,13528,2937,19410,7471,15150,7014,6,2.85714285714286,3161,6.14285714285714,30.0641142857143
"16","BLACK WARRIOR ELEC MEMBER CORP",28,14,85528,50513,59.1,56.9,33442.4642857143,5.38214285714286,85221.4285714286,11028,32483,11378,48525,29110,44542,14947,11,5.82142857142857,8695,6.21428571428571,29.4111892857143
"17","CLARKE-WASHINGTON E M C",13,9,37963,16589,43.7,37.9,38599.2307692308,5.69230769230769,104192.307692308,3632,13987,4788,22056,10240,17362,6052,5,6.01538461538462,3880,5.15384615384615,25.6612769230769
"18","CITY OF ELBA - (AL)",14,0,51662,15423,29.9,16.9,52161.5,5.67857142857143,130228.571428571,4662,19924,4051,30558,13718,17259,6153,0,5.35714285714286,6494,3.85714285714286,21.2690285714286
"19","SOUTH ALABAMA ELEC COOP, INC",14,4,47978,18091,37.7,30.8,41852.4285714286,5.42142857142857,98657.1428571429,5134,16845,6105,28841,13767,20709,7194,7,3.78571428571429,6341,5.14285714285714,22.9512928571429
"20","COVINGTON ELECTRIC COOP, INC",20,0,51113,11096,21.7,16.9,43414.1,5.415,101380,5132,20156,4911,29389,12593,21029,8458,1,7.05,5360,4.55,21.35663
"21","SHEFFIELD UTILITIES",9,1,33538,6642,19.8,14.6,47512.5555555556,6.07777777777778,110322.222222222,3766,13658,3159,20117,8606,12498,5162,9,1.55555555555556,3636,4.44444444444444,26.7540555555556
"22","CITY OF FLORENCE - (AL)",23,1,94451,14625,15.5,10.6,44853.1739130435,5.53478260869565,127600,10948,39257,8620,55643,22262,34925,10903,23,1.47826086956522,10078,3.34782608695652,23.7395043478261
"23","CITY OF TUSCUMBIA",2,0,9989,3319,33.2,25.3,43603,6,117500,1066,3807,1072,5783,2305,3842,1206,2,1,1433,3.5,33.3518
"24","CITY OF MUSCLE SHOALS",2,0,9349,1497,16,11.2,57682,6.5,146650,1084,3629,437,5382,1558,2713,745,2,1,880,3,29.38945
"25","SOUTHERN PINE ELEC COOP, INC",14,11,50246,19370,38.6,34.2,35304.2142857143,5.23571428571429,93750,4582,19178,6255,28113,14976,24657,8393,1,7.64285714285714,5266,5.07142857142857,27.4021357142857
"26","CITY OF ANDALUSIA",14,1,37200,6216,16.7,13.5,42883.5,5.31428571428571,97707.1428571429,3712,14852,3599,21012,8163,15563,6079,2,6.85714285714286,3795,4.28571428571429,23.9810642857143
"27","CITY OF LUVERNE - (AL)",6,0,13844,4017,29,23.3,42170.3333333333,5.58333333333333,81266.6666666667,1169,4943,1145,8091,3128,5552,2637,5,3.5,1465,6.66666666666667,15.0248333333333
"28","CULLMAN POWER BOARD",21,0,90842,7035,7.7,1.2,45623.1904761905,5.6,130404.761904762,8884,34404,7931,53226,19186,34788,15808,1,5.1,8198,4.85714285714286,29.3109428571429
"29","CULLMAN ELECTRIC COOP, INC",21,0,90842,7035,7.7,1.2,45623.1904761905,5.6,130404.761904762,8884,34404,7931,53226,19186,34788,15808,1,5.1,8198,4.85714285714286,29.3109428571429
"30","WIREGRASS ELECTRIC COOP, INC",29,1,136360,41289,30.3,23.5,44412.724137931,5.57931034482759,115737.931034483,14491,51878,14543,80082,32951,55282,19166,28,1.68965517241379,17365,3.72413793103448,30.5882965517241
"31","SAND MOUNTAIN ELECTRIC COOP",15,0,74639,11845,15.9,1.4,41618.0666666667,5.66,108606.666666667,7028,27721,8600,43787,15060,35091,16582,2,7.53333333333333,5901,3.73333333333333,29.3596466666667
"32","MARSHALL-DE KALB ELECTRIC COOP",11,0,58196,14681,25.2,3.2,42811.3636363636,5.83636363636364,109800,5676,20461,7080,33361,16099,28564,11829,0,4.27272727272727,6764,3.81818181818182,29.7649545454545
"33","FORT PAYNE IMPROVEMENT AUTHORITY",4,0,16035,3846,24,1.5,46406,5.675,114975,1654,5634,1772,9176,2576,7657,4241,0,8,1827,3.75,28.87475
