"","Utility","census_tracts","J40_DAC","Total_population","Total_BIPOC","BIPOC_p","Black_p","mean_median_household_income","mean.Median.Number.Of.Rooms","mean.Median.Home.Value","Housing_burdened","Occupied_housing_units","pop_18_64_poverty","pop_18_64","low_income","low_income_below_federal200","less_high_school","Metro","Urbal_rural_code","renters","ENERGYBRDN","PM25","Utility_Name"
"1","Consolidated Edison",2267,746,8833588,5902365,66.8,23.8,73541.1234679982,4.41873303167421,675506.339705882,1670704,3297512,846398,5607218,3552509,3086977,1462298,2243,1.84164093515659,2176545,3.12615791795324,24.7019167181297,"Consolidated Edison Co-NY Inc"
"2","NYS Electric and Gas",470,24,1840634,227129,12.3,3.4,64415.2656587473,5.90344827586207,170944.685466377,240650,733391,126247,1076935,405608,499070,136601,287,3.58550106609808,194301,3.65106382978723,22.0624525531915,"New York State Elec & Gas Corp"
"3","Rochester Gas and Electric",218,35,851716,226147,26.6,13.6,58743.7699530516,5.81869158878505,132932.547169811,121824,347017,67737,507058,216600,248984,74879,205,1.53211009174312,117536,3.8348623853211,21.2040449541284,"Rochester Gas & Electric Corp"
"4","National Grid",924,35,3404438,669136,19.7,8.7,58836.0922222222,5.78405315614618,145804.026845638,441918,1368639,273149,2004417,886680,1066487,294148,704,2.45590809628009,466286,3.66341991341991,21.0650043290043,"National Grid"
"5","Orange and Rockland Utilities",121,6,590644,202238,34.2,10.7,91180.2727272727,6.25537190082645,376161.983471074,97147,188391,35290,335021,161169,160062,60624,112,1.45454545454545,58174,3.29752066115702,23.7056652892562,"Orange & Rockland Utils Inc"
"6","Long Island Power Authority",589,27,2809393,1045535,37.2,10.7,113935.761578045,6.52006861063465,503351.20790378,473156,918164,104095,1700332,629027,458988,227758,582,1.22835314091681,195785,3.03225806451613,24.7822224108659,"Long Island Power Authority"
"7","Central Hudson Gas and Electric",159,12,598785,169352,28.3,9.7,75312.6025641026,5.6974358974359,252262.179487179,100520,224458,36383,355428,147360,146903,46184,137,2.90691823899371,68400,3.75471698113208,20.597341509434,"Central Hudson Gas & Elec Corp"
"8","Municipal Utility: ROCKVILLE CENTRE",15,2,74764,31898,42.7,21.3,127279.8,6.60666666666667,505080,12626,25998,1828,45426,16288,9235,4138,15,1,6330,2.53333333333333,29.6943066666667,"Municipal Utility: ROCKVILLE CENTRE"
"9","Municipal Utility: FREEPORT",16,3,77486,51380,66.3,28.7,100698.1875,6.08125,379643.75,13778,24814,3683,48267,23300,15726,12327,16,1,6682,3,27.24816875,"Village of Freeport - (NY)"
"10","Municipal Utility: SOLVAY",15,1,54820,6278,11.5,3.7,66139.5333333333,5.89333333333333,140886.666666667,6121,23081,2835,33450,10037,12664,3256,15,1.06666666666667,6478,2.4,19.38762,"Village of Solvay - (NY)"
"11","Municipal Utility: SKANEATELES",2,0,7201,191,2.7,0.1,91375,7,312400,846,3078,99,3885,720,880,84,0,7.1,635,2.5,15.38265,"Municipal Utility: SKANEATELES"
"12","Municipal Utility: BERGEN",1,0,5000,295,5.9,0.8,63730,6.5,118200,582,2041,215,3147,949,1090,365,1,2,408,4,41.1629,"Municipal Utility: BERGEN"
"13","Municipal Utility: MASSENA",7,1,29596,4415,14.9,0.3,49833.5714285714,5.74285714285714,108571.428571429,3570,12851,2864,17547,8903,11429,2106,0,6.57142857142857,3741,3.71428571428571,27.7171857142857,"Town of Massena - (NY)"
"14","Municipal Utility: WESTFIELD",4,0,14910,801,5.4,1,49548.75,6.1,99150,1804,5889,978,8272,3890,5499,1835,0,9.25,1300,4.75,26.432225,"Municipal Utility: WESTFIELD"
"15","Municipal Utility: GROTON",1,0,4669,393,8.4,2.4,58547,6.3,135900,462,1902,170,2820,1016,1276,250,1,2,514,3,18.5754,"Municipal Utility: GROTON"
"16","Municipal Utility: GREEN ISLAND",7,2,15177,4640,30.6,11,44202,5.04,124720,2719,7001,1811,10033,6029,6412,2059,5,1,4740,3.6,24.63298,"Municipal Utility: GREEN ISLAND"
"17","Municipal Utility: ROUSES POINT",1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"18","Municipal Utility: PLATTSBURGH",10,0,15369,1575,10.2,3.9,55201.8,5.56,130280,1591,6183,1267,8754,3939,4614,1477,0,4,2100,3.4,18.79708,"City of Plattsburgh - (NY)"
"19","Municipal Utility: THERESA",1,0,4759,224,4.7,0.3,51953,5.6,133200,596,1796,469,3004,1021,1731,546,1,3,413,6,24.984,"Municipal Utility: THERESA"
"20","Municipal Utility: ARCADE",8,0,27756,1269,4.6,0.9,55331.375,6.05,119575,3152,10912,2094,15802,6538,9591,2540,4,5.375,2300,4.25,20.910175,"Municipal Utility: ARCADE"
"21","Municipal Utility: SILVER SPRINGS",2,0,5652,442,7.8,0.6,52373.5,6.3,96650,676,2418,468,3317,1211,1898,467,0,9.5,448,4.5,26.33865,"Municipal Utility: SILVER SPRINGS"
"22","Municipal Utility: MAYVILLE",1,0,3667,113,3.1,0.5,53401,5.6,98300,376,1475,366,2093,1272,1436,457,0,6,384,5,29.4404,"Municipal Utility: MAYVILLE"
"23","Municipal Utility: SPRINGVILLE",2,0,8484,318,3.7,0.4,57639,5.85,151450,974,3580,473,5053,1913,2236,384,1,4.55,938,3.5,13.7959,"Municipal Utility: SPRINGVILLE"
"24","Municipal Utility: AKRON",3,0,2414,110,4.6,0,53811,5.6,139800,288,1034,88,1334,432,735,149,1,2,455,2,14.6948,"Municipal Utility: AKRON"
"25","Municipal Utility: FAIRPORT",6,0,18452,1889,10.2,2.3,80463.6666666667,6.66666666666667,199633.333333333,2588,7476,1004,10696,2843,3531,785,3,1,1845,1.33333333333333,33.3368666666667,"Village of Fairport - (NY)"
"26","Municipal Utility: LAKE PLACID",3,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"27","Municipal Utility: WATKINS GLEN",3,0,10455,678,6.5,1.1,58881.3333333333,5.86666666666667,148533.333333333,1430,4345,1062,6374,1960,3593,719,1,6,853,5,20.5617666666667,"Municipal Utility: WATKINS GLEN"
"28","Municipal Utility: BOONVILLE",6,0,16593,603,3.6,0.6,59240.2,5.82,127840,1756,6675,982,9772,3461,4810,1107,2,6,1262,5.2,15.80376,"Municipal Utility: BOONVILLE"
"29","Municipal Utility: SALAMANCA",4,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"30","Municipal Utility: PHILADELPHIA",1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"31","Municipal Utility: WAVERLY",3,0,12008,483,4,0.7,52135.3333333333,5.96666666666667,109000,1671,4842,1002,6969,2939,4377,1139,1,3.66666666666667,1306,4.33333333333333,27.2231666666667,"Municipal Utility: WAVERLY"
"32","Municipal Utility: PENN YAN",4,0,9203,608,6.6,1.3,59680,6.2,160550,893,3070,307,4705,2035,2401,874,0,7,977,4.5,21.48745,"Pennsylvania Electric Co"
"33","Municipal Utility: GREENPORT",4,0,2082,794,38.1,15.7,48750,5.3,490400,569,903,253,1149,879,900,205,0,7.1,442,4,11.4379,"Municipal Utility: GREENPORT"
"34","Municipal Utility: SPENCERPORT",3,0,15009,1319,8.8,1.6,80375.6666666667,6.56666666666667,165300,1544,5622,613,9214,1549,2683,472,3,1,1202,2,22.8242333333333,"Municipal Utility: SPENCERPORT"
"35","Municipal Utility: CHURCHVILLE",1,0,5622,214,3.8,1.2,73523,6.3,158800,563,2155,181,3354,1008,1065,337,1,2,172,3,34.0649,"Municipal Utility: CHURCHVILLE"
"36","Municipal Utility: ENDICOTT",4,3,15879,2426,15.3,8.7,43097.25,5.325,94000,2509,7202,1522,9514,5014,5718,1128,4,1,3632,3.5,32.9358,"Municipal Utility: ENDICOTT"
"37","Municipal Utility: BROCTON",1,0,4649,636,13.7,5.7,42196,5.9,92000,659,1697,451,2234,1265,1921,600,0,5,441,4,22.1275,"Municipal Utility: BROCTON"
"38","Municipal Utility: GREENE",2,0,6890,361,5.2,0.3,58406.5,6,124400,792,2936,308,3937,1638,1741,487,2,2,617,4.5,22.5262,"Municipal Utility: GREENE"
"39","Municipal Utility: JAMESTOWN",12,1,45979,5733,12.5,3,42133.5833333333,5.68333333333333,72800,6841,19859,5741,27168,15461,20143,5390,0,4.16666666666667,7644,3.66666666666667,29.1509416666667,"Jamestown Board of Public Util"
"40","Municipal Utility: WELLSVILLE",3,0,10288,254,2.5,0.6,47846,5.96666666666667,72733.3333333333,1227,4587,999,6164,2875,3827,788,0,7,1495,4,21.6220666666667,"Municipal Utility: WELLSVILLE"
"41","Municipal Utility: ANDOVER",1,0,3662,21,0.6,0.1,48472,5.9,73600,448,1667,367,2053,877,1390,224,0,8,417,4,25.2916,"Municipal Utility: ANDOVER"
"42","Municipal Utility: FISHERS ISLAND",1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"43","Municipal Utility: RICHMONDVILLE",1,0,3635,153,4.2,1.2,58621,5.6,137500,415,1422,329,2151,1150,1196,373,1,2,327,4,23.8718,"Municipal Utility: RICHMONDVILLE"
"44","Municipal Utility: ILION",4,0,16599,1500,9,2.6,52188.75,5.825,83275,1536,6571,1486,9322,4563,5739,1359,0,4.1,2839,3.75,26.06545,"Municipal Utility: ILION"
"45","Municipal Utility: SHERRILL",3,0,11397,854,7.5,2,69973,6.13333333333333,146500,1087,4614,406,6770,1802,2366,658,0,NA,1141,2.66666666666667,16.1293,"Municipal Utility: SHERRILL"
"46","Municipal Utility: FRANKFORT",2,0,6738,264,3.9,0.4,56497,5.95,101300,707,2781,349,4121,1676,1777,846,1,2.55,679,3.5,21.44985,"Municipal Utility: FRANKFORT"
"47","Municipal Utility: ANGELICA",2,0,3648,264,7.2,4.4,43548,5.7,56100,443,1558,426,2028,1445,1679,424,0,9,483,5,19.421,"Municipal Utility: ANGELICA"
"48","Municipal Utility: BATH",3,0,12029,1079,9,4.4,40175,5.46666666666667,91266.6666666667,1415,5192,1269,6978,3750,5887,1594,0,7.66666666666667,1908,3.66666666666667,21.964,"Municipal Utility: BATH"
"49","Municipal Utility: HAMILTON",3,0,13050,1391,10.7,2.1,61474.6666666667,6.13333333333333,147333.333333333,1311,4418,871,6325,3151,3773,843,0,8.33333333333333,1009,4,15.8834333333333,"Municipal Utility: HAMILTON"
"50","Municipal Utility: SHERBURNE",2,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
"51","Municipal Utility: TUPPER LAKE",2,0,5789,459,7.9,1.7,59076,5.9,124050,541,2491,272,3342,1207,1460,762,0,7,766,3,10.29905,"Municipal Utility: TUPPER LAKE"
"52","Municipal Utility: MARATHON",1,0,4513,250,5.5,1.2,56875,6,105400,491,1753,283,2656,999,1376,366,0,5,368,5,24.9002,"Municipal Utility: MARATHON"
"53","Municipal Utility: LITTLE VALLEY",1,0,3519,274,7.8,1.9,50991,5.9,84700,340,1424,234,2091,994,1349,341,0,10,285,5,27.9115,"Municipal Utility: LITTLE VALLEY"
"54","Municipal Utility: MOHAWK",1,0,1685,133,7.9,3.9,60893,6.5,144900,184,675,118,976,231,485,170,1,2,81,5,12.257,"Municipal Utility: MOHAWK"
"55","Municipal Utility: HOLLEY",2,0,8231,904,11,1.7,52375.5,6.1,102200,1140,3490,676,5096,2172,2686,847,2,2,687,4.5,20.61075,"Municipal Utility: HOLLEY"
