Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2020,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,3740,33274,2629
2020,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,264,2078,269
2020,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,42165,348316,31765
2020,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,43697,274080,34633
2020,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,7.9,85,9
2020,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,12866.5,175490,22040
2020,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,1766.7,19522,1951
2020,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,10134,82048,4391
2020,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,83563.1,609748,46101
2020,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,539.1,5742,823
2020,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,2379707.4,17620060,1295794
2020,207,Alameda Municipal Power,A,Bundled,O,CA,Municipal,CISO,27678.8,138618,32052
2020,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,19656,157074,14901
2020,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,7686,26787,5615
2020,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,21964.5,43904,7922
2020,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,39715,342013,31473
2020,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,15609.8,123749,10064
2020,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,24077,175123,12140
2020,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,11171,116060,8147
2020,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,.,.,.
2020,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,23660,208352,14808
2020,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,8337.6,80191,8360
2020,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,365,3738,214
2020,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,4738,49178,2690
2020,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,26365,279970,20058
2020,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,10634.3,52294,9661
2020,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,1424.1,11514,1670
2020,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,12578.1,89297,13711
2020,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,31586,228375,18827
2020,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,951,7195,710
2020,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0
2020,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0
2020,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,20123,173423,24342
2020,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,72888.5,641083,45653
2020,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,3905,37199,2861
2020,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,41001,383123,26302
2020,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,95299,554067,103366
2020,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,23036.6,108035,24881
2020,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,5466,41548,3677
2020,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,35346.4,305650,29496
2020,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,168327.1,1241525,125058
2020,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,3645,42777,3435
2020,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,10411,76899,10941
2020,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,23718.5,231474,23377
2020,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,68036,598545,40865
2020,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,651825,6027445,456500
2020,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,621183,4887948,354340
